request_id,district_id,stakeholder_role,topic,urgency,status,days_to_due
REQ001,DST004,Curriculum lead,MTSS cycle impact,routine,delivered,10
REQ002,DST004,Assistant superintendent,Board-ready proficiency trend,routine,delivered,14
REQ003,DST003,Data director,Attendance intervention list,this week,new,2
REQ004,DST005,Curriculum lead,Metric definition review,routine,new,3
REQ005,DST002,Assistant superintendent,School comparison packet,board meeting,scoping,3
REQ006,DST003,Assistant superintendent,Board-ready proficiency trend,routine,delivered,2
REQ007,DST002,Assistant superintendent,Roster sync question,routine,scoping,3
REQ008,DST003,Principal,MTSS cycle impact,routine,new,14
REQ009,DST001,Data director,Metric definition review,state reporting,delivered,7
REQ010,DST005,Data director,Roster sync question,board meeting,delivered,14
REQ011,DST004,Curriculum lead,Metric definition review,board meeting,delivered,5
REQ012,DST002,Assistant superintendent,MTSS cycle impact,routine,delivered,5
REQ013,DST005,Data director,Metric definition review,board meeting,delivered,3
REQ014,DST003,Curriculum lead,Board-ready proficiency trend,this week,scoping,5
REQ015,DST001,Curriculum lead,Roster sync question,routine,blocked,14
REQ016,DST001,Assistant superintendent,MTSS cycle impact,board meeting,delivered,21
REQ017,DST003,Principal,Roster sync question,state reporting,scoping,10
REQ018,DST006,Assistant superintendent,Attendance intervention list,board meeting,delivered,3
REQ019,DST004,Data director,Attendance intervention list,board meeting,new,10
REQ020,DST003,Principal,Metric definition review,this week,blocked,14
REQ021,DST001,Data director,MTSS cycle impact,routine,delivered,21
REQ022,DST003,Data director,Attendance intervention list,state reporting,delivered,3
REQ023,DST001,Data director,MTSS cycle impact,this week,blocked,10
REQ024,DST006,Principal,Metric definition review,state reporting,scoping,7
REQ025,DST002,Data director,School comparison packet,state reporting,scoping,7
REQ026,DST002,Data director,Metric definition review,state reporting,new,10
REQ027,DST001,Assistant superintendent,School comparison packet,this week,delivered,3
REQ028,DST006,Data director,MTSS cycle impact,state reporting,delivered,7
REQ029,DST004,Principal,School comparison packet,this week,scoping,21
REQ030,DST004,Curriculum lead,Attendance intervention list,this week,delivered,7
REQ031,DST005,Principal,Metric definition review,routine,delivered,5
REQ032,DST003,Data director,Attendance intervention list,state reporting,scoping,21
REQ033,DST002,Assistant superintendent,Board-ready proficiency trend,this week,blocked,14
REQ034,DST005,Curriculum lead,Roster sync question,board meeting,new,2
REQ035,DST004,Assistant superintendent,School comparison packet,state reporting,new,10
REQ036,DST001,Data director,MTSS cycle impact,board meeting,delivered,14
REQ037,DST006,Principal,Attendance intervention list,state reporting,delivered,3
REQ038,DST003,Curriculum lead,Attendance intervention list,board meeting,scoping,2
